region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std;K-Fscores
LeftMotor;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6192934782608696;0.712690179421488;0.635165287571404;0.05130211207054296;0.03760308552772929;0.046907927062894234;0.6521739130434783,0.5389492753623188,0.7137681159420289,0.6684782608695652,0.6177536231884058,0.6059782608695652,0.6467391304347826,0.5471014492753623,0.6186594202898551,0.5833333333333334
RightMotor;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6146739130434784;0.7090010670158995;0.6298297997488284;0.055274704935178796;0.040171868413316034;0.05321052299699234;0.6213768115942029,0.5398550724637681,0.7418478260869565,0.6494565217391305,0.6458333333333334,0.5896739130434783,0.6385869565217391,0.5634057971014492,0.5851449275362319,0.5715579710144928
LeftMotor;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.617481884057971;0.692631059368059;0.6312024786964734;0.051356459067421215;0.04366099645927165;0.04774669191996144;0.6077898550724637,0.5751811594202898,0.740036231884058,0.6702898550724637,0.6032608695652174,0.6277173913043478,0.582427536231884,0.5489130434782609,0.6222826086956522,0.5969202898550725
LeftFusiformGyrus;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'energy_ts': ['mouth_AU', 'eyes_AU', 'total_AU', 'head_rotation_energy', 'head_translation_energy', 'head_positions']};['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3'];['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3'];0.5908514492753623;0.6011767830478321;0.5814210767517471;0.09231583483435342;0.06308862450966751;0.09291037569559815;0.7056159420289855,0.667572463768116,0.5869565217391305,0.5688405797101449,0.5398550724637681,0.49818840579710144,0.5878623188405797,0.39492753623188404,0.6648550724637681,0.6938405797101449
RightMotor;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6320652173913043;0.6936711439280193;0.6424418469667569;0.051261714149393525;0.041843326482321565;0.049047249702898865;0.6114130434782609,0.6141304347826086,0.7418478260869565,0.6494565217391305,0.7019927536231884,0.6367753623188406,0.6195652173913043,0.5806159420289855,0.5987318840579711,0.5661231884057971
LeftSTS;None;6;{'C': 1, 'kernel': 'linear', 'random_state': 5};{'speech_ts': ['IPU', 'disc_IPU', 'Overlap', 'ReactionTime', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', 'LexicalRichness1', 'LexicalRichness2', 'Polarity', 'Subjectivity', 'UnionSocioItems']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3'];0.6655797101449276;0.7474465172205764;0.6872451669954105;0.0431558851639103;0.058782533385262146;0.046787257491512135;0.6865942028985508,0.6603260869565217,0.6041666666666666,0.5679347826086957,0.6612318840579711,0.6875,0.6875,0.7137681159420289,0.6929347826086957,0.6938405797101449
RightSTS;None;6;{'C': 0.7, 'kernel': 'linear', 'random_state': 5};{'speech_ts': ['IPU', 'disc_IPU', 'Overlap', 'ReactionTime', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', 'LexicalRichness1', 'LexicalRichness2', 'Polarity', 'Subjectivity', 'UnionSocioItems']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3'];0.675090579710145;0.7568464296356489;0.6968092758769646;0.03208376295754051;0.027955490050467834;0.031145564475078887;0.6494565217391305,0.6766304347826086,0.6603260869565217,0.6023550724637681,0.7028985507246377,0.6929347826086957,0.6865942028985508,0.7001811594202898,0.720108695652174,0.6594202898550725
LeftFusiformGyrus;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'eyetracking_ts': ['Vx', 'Vy', 'saccades', 'Face', 'Mouth', 'Eyes']};['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];['Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3'];0.529891304347826;0.6117326948843299;0.5399417755401814;0.08961716840263238;0.0702758019601959;0.08658459024017855;0.717391304347826,0.6521739130434783,0.5471014492753623,0.4583333333333333,0.4583333333333333,0.5054347826086957,0.4230072463768116,0.5135869565217391,0.5697463768115942,0.453804347826087
LeftSTS;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6723731884057971;0.7509596996634816;0.6920132954243893;0.05833649791128041;0.06345238067205913;0.06110845312291039;0.6956521739130435,0.677536231884058,0.5914855072463768,0.5371376811594203,0.6865942028985508,0.6793478260869565,0.6884057971014492,0.7409420289855072,0.707427536231884,0.7192028985507246
RightSTS;None;6;{'C': 1, 'kernel': 'linear', 'random_state': 5};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6752717391304348;0.7571931373027706;0.69702789459185;0.032004902128259134;0.027383339076811293;0.031031477880328718;0.6494565217391305,0.6766304347826086,0.6621376811594203,0.6023550724637681,0.7028985507246377,0.6929347826086957,0.6865942028985508,0.7001811594202898,0.720108695652174,0.6594202898550725
