region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std;K-Fscores
LeftMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_sum', 'IPU_left_std'];['IPU_left_sum', 'IPU_left_std'];0.5722148058753997;0.7835161029193761;0.6313808074224122;0.061132924854055935;0.15540316159131295;0.06654083494363919;0.6401028277634961,0.5848329048843187,0.699228791773779,0.5739074550128535,0.5616966580976864,0.5781350482315113,0.5041800643086817,0.5524115755627009,0.464951768488746,0.5601286173633441
RightMotor;None;6;{'C': 0.7, 'solver': 'liblinear'};{'speech_left_ts': ['IPU_left']};['IPU_left_sum', 'IPU_left_std'];['IPU_left_sum', 'IPU_left_std'];0.5807680571812448;0.7831029126489799;0.6381316371832825;0.04473422236202331;0.15729111760561967;0.06731004493722832;0.6286811779769527,0.5813060179257362,0.6581306017925737,0.5806658130601793,0.6094750320102432,0.5710627400768246,0.5102432778489117,0.5627400768245838,0.5083226632522407,0.5970531710442024
LeftMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_sum', 'disc_IPU_left_std'];['disc_IPU_left_sum', 'disc_IPU_left_std'];0.5563360996536589;0.7820898171240769;0.6141461323624384;0.05352156490308383;0.15647396188396462;0.06949145146054869;0.6105398457583547,0.5661953727506427,0.6580976863753213,0.5816195372750642,0.5571979434447301,0.5389067524115756,0.4919614147909968,0.5266881028938907,0.46109324758842446,0.5710610932475885
RightMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_sum', 'disc_IPU_left_std'];['disc_IPU_left_sum', 'disc_IPU_left_std'];0.5625853777372758;0.7812283357908737;0.6192958428439813;0.0444654920114681;0.15747548317631993;0.06876467868945192;0.6133162612035852,0.558898847631242,0.6344430217669654,0.5832266325224071,0.5915492957746479,0.5256081946222791,0.5096030729833547,0.5364916773367477,0.4884763124199744,0.5836002562459962
LeftMotor;None;6;{'C': 0.7, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left', 'disc_IPU_left', 'Overlap_left', 'ReactionTime_left', 'FilledBreaks_left', 'Feedbacks_left', 'Discourses_left', 'Particles_left', 'Laughters_left', 'LexicalRichness1_left', 'LexicalRichness2_left', 'Polarity_left', 'Subjectivity_left', 'UnionSocioItems_left']};['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];0.5780011820233264;0.7841808982876102;0.6372339420745139;0.05172898156463048;0.15312100447757407;0.05853152029888629;0.6394601542416453,0.5854755784061697,0.6606683804627249,0.5983290488431876,0.596401028277635,0.5871382636655949,0.5157556270096463,0.5543408360128618,0.4752411575562701,0.5659163987138264
LeftMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_2_left']};['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];0.5828223906628424;0.7875568311014265;0.6394571956963568;0.07320416710485149;0.14761322856735387;0.07707054812249056;0.6850899742930592,0.6317480719794345,0.7287917737789203,0.5462724935732648,0.5199228791773779,0.5170418006430868,0.5639871382636656,0.5524115755627009,0.490032154340836,0.5916398713826366
RightMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left', 'disc_IPU_left', 'Overlap_left', 'ReactionTime_left', 'FilledBreaks_left', 'Feedbacks_left', 'Discourses_left', 'Particles_left', 'Laughters_left', 'LexicalRichness1_left', 'LexicalRichness2_left', 'Polarity_left', 'Subjectivity_left', 'UnionSocioItems_left']};['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];0.583777266124263;0.7841913395914858;0.6412692848170322;0.03785739404639627;0.1540896852290903;0.06100988447437914;0.6120358514724712,0.5985915492957746,0.6312419974391806,0.6158770806658131,0.617797695262484,0.5653008962868118,0.5300896286811779,0.5492957746478874,0.5160051216389244,0.5970531710442024
RightMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_2_left']};['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];0.5669403292974315;0.7877741733633395;0.6227127116181151;0.04644378164943338;0.1477658113357735;0.07606580188686343;0.6619718309859155,0.529449423815621,0.6126760563380281,0.5505761843790012,0.5544174135723432,0.5006402048655569,0.5697823303457106,0.5653008962868118,0.5166453265044815,0.6079436258808456
LeftMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_3_left']};['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];0.584808933781896;0.7834546233530942;0.6442576924033365;0.08458972022409719;0.1524705650546317;0.06131418470306151;0.6696658097686375,0.5951156812339332,0.7062982005141388,0.6182519280205655,0.6317480719794345,0.6135048231511254,0.5299035369774919,0.5819935691318328,0.5073954983922829,0.39421221864951767
RightMotor;None;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_3_left']};['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];0.5940717685649158;0.7795082026382987;0.6505263842620934;0.08421624438330101;0.15278215391594394;0.0569973937373403;0.647887323943662,0.6062740076824583,0.6715749039692702,0.6280409731113956,0.7221510883482715,0.6120358514724712,0.5473751600512163,0.5736235595390525,0.529449423815621,0.4010249839846252
