region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std;K-Fscores
LeftMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 200, 'random_state': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_sum', 'IPU_left_std'];['IPU_left_sum', 'IPU_left_std'];0.595944213458534;0.7820026378353291;0.6517334790456322;0.042984244585258895;0.15327348361993515;0.07697905725342062;0.5919023136246787,0.5424164524421594,0.609254498714653,0.5751928020565553,0.5629820051413882,0.5562700964630225,0.5556270096463023,0.662379421221865,0.6038585209003215,0.6919614147909968
RightMotor;None;6;{'bootstrap': True, 'max_depth': 500, 'max_features': 'auto', 'n_estimators': 300, 'random_state': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_sum', 'IPU_left_std'];['IPU_left_sum', 'IPU_left_std'];0.5924898350559944;0.7614560392841185;0.644847005348693;0.0489357682219119;0.16079554145197994;0.09926888959166769;0.5813060179257362,0.5633802816901409,0.5755441741357235,0.5825864276568502,0.5781049935979513,0.5140845070422535,0.558898847631242,0.6606914212548015,0.6190781049935979,0.6912235746316464
LeftMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_sum', 'disc_IPU_left_std'];['disc_IPU_left_sum', 'disc_IPU_left_std'];0.6820945370684168;0.7865490631501341;0.7237304815390846;0.04720496254823111;0.14462345217964886;0.08042115721716205;0.6876606683804627,0.6516709511568124,0.7262210796915167,0.6670951156812339,0.6973007712082262,0.6488745980707395,0.6019292604501608,0.7318327974276527,0.6411575562700965,0.7672025723472669
RightMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_sum', 'disc_IPU_left_std'];['disc_IPU_left_sum', 'disc_IPU_left_std'];0.6852603595482394;0.7882335822981904;0.7263513159554578;0.038435193992730085;0.14274955452527843;0.07688393820667007;0.6632522407170295,0.676056338028169,0.6952624839948783,0.6875800256081946,0.7099871959026889,0.6536491677336748,0.617157490396927,0.7151088348271447,0.6677336747759283,0.7668161434977578
LeftMotor;None;6;{'bootstrap': True, 'max_depth': 500, 'max_features': 'auto', 'n_estimators': 300, 'random_state': 5};{'speech_left_ts': ['IPU_left', 'disc_IPU_left', 'Overlap_left', 'ReactionTime_left', 'FilledBreaks_left', 'Feedbacks_left', 'Discourses_left', 'Particles_left', 'Laughters_left', 'LexicalRichness1_left', 'LexicalRichness2_left', 'Polarity_left', 'Subjectivity_left', 'UnionSocioItems_left']};['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];0.7703789087362269;0.8222213816894645;0.7911701189932615;0.08397847394312048;0.11806143356708587;0.10202820662055732;0.7230077120822622,0.6979434447300771,0.7602827763496144,0.6915167095115681,0.7352185089974294,0.6874598070739549,0.7260450160771704,0.9016077170418006,0.872668810289389,0.9080385852090033
RightMotor;None;6;{'bootstrap': True, 'max_depth': 500, 'max_features': 'auto', 'n_estimators': 300, 'random_state': 5};{'speech_left_ts': ['IPU_left', 'disc_IPU_left', 'Overlap_left', 'ReactionTime_left', 'FilledBreaks_left', 'Feedbacks_left', 'Discourses_left', 'Particles_left', 'Laughters_left', 'LexicalRichness1_left', 'LexicalRichness2_left', 'Polarity_left', 'Subjectivity_left', 'UnionSocioItems_left']};['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];['IPU_left_sum', 'IPU_left_std', 'disc_IPU_left_sum', 'disc_IPU_left_std', 'Overlap_left_sum', 'Overlap_left_std', 'ReactionTime_left_sum', 'ReactionTime_left_std', 'FilledBreaks_left_sum', 'FilledBreaks_left_std', 'Feedbacks_left_sum', 'Feedbacks_left_std', 'Discourses_left_sum', 'Discourses_left_std', 'Particles_left_sum', 'Particles_left_std', 'Laughters_left_sum', 'Laughters_left_std', 'LexicalRichness1_left_sum', 'LexicalRichness1_left_std', 'LexicalRichness2_left_sum', 'LexicalRichness2_left_std', 'Polarity_left_sum', 'Polarity_left_std', 'Subjectivity_left_sum', 'Subjectivity_left_std', 'UnionSocioItems_left_sum', 'UnionSocioItems_left_std'];0.7698406090845932;0.8207255557169713;0.7903721797640005;0.08223608681201179;0.11872986676630198;0.10109556568966216;0.6959026888604354,0.7035851472471191,0.7503201024327785,0.7221510883482715,0.7234314980793854,0.7016645326504481,0.7234314980793854,0.8988476312419974,0.8687580025608195,0.9103139013452914
LeftMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'speech_left_ts': ['disc_IPU_2_left']};['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];0.6797197860785756;0.7893027189047271;0.7215564830837574;0.0550740659515424;0.14348330726143552;0.09083971050771035;0.6850899742930592,0.6317480719794345,0.7287917737789203,0.6401028277634961,0.6715938303341902,0.6385852090032155,0.5942122186495177,0.7504823151125402,0.6771704180064309,0.7794212218649518
RightMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'speech_left_ts': ['disc_IPU_2_left']};['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];['disc_IPU_2_left_sum', 'disc_IPU_2_left_std'];0.680139868973318;0.7882544902583369;0.7213906077886888;0.05016609255555023;0.14335664696485897;0.08848243016825832;0.6619718309859155,0.6523687580025608,0.6907810499359796,0.6536491677336748,0.6856594110115237,0.6389244558258643,0.6049935979513444,0.7503201024327785,0.6779769526248399,0.7847533632286996
LeftMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'speech_left_ts': ['disc_IPU_3_left']};['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];0.6138121492159796;0.7876314232064936;0.6698985914697121;0.04719569607594407;0.14623363120088018;0.05973100614845023;0.6696658097686375,0.5951156812339332,0.7062982005141388,0.6182519280205655,0.6317480719794345,0.6135048231511254,0.5639871382636656,0.6154340836012862,0.5299035369774919,0.5942122186495177
RightMotor;None;6;{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'random_state': 5};{'speech_left_ts': ['disc_IPU_3_left']};['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];['disc_IPU_3_left_sum', 'disc_IPU_3_left_std'];0.6309604467407789;0.7800741475646512;0.681508366468843;0.04812025596051875;0.1478964250662983;0.05288931855012145;0.647887323943662,0.6062740076824583,0.6715749039692702,0.6280409731113956,0.7221510883482715,0.6830985915492958,0.5902688860435339,0.6081946222791293,0.5499359795134443,0.6021780909673287
