region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;recall. std;precision. std;fscore. std;K-Fscores
LeftMotor;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_sum', 'IPU_left_std'];['IPU_left_sum', 'IPU_left_std'];0.5524900311703121;0.7709348552860568;0.61389949130954;0.037874867912584716;0.1567925781863581;0.08704493050129848;0.5047378395451674,0.5129500947567909,0.5578016424510424,0.5003158559696779,0.5319014529374605,0.5847029077117573,0.5689001264222503,0.6194690265486725,0.5916561314791403,0.5524652338811631
RightMotor;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'speech_left_ts': ['IPU_left']};['IPU_left_sum', 'IPU_left_std'];['IPU_left_sum', 'IPU_left_std'];0.4792732527882529;0.7245533472570781;0.5476592513285448;0.04959490113377943;0.18293621278325753;0.08655083589741704;0.48260594560404807,0.45949367088607596,0.4544303797468354,0.4936708860759494,0.45949367088607596,0.40822784810126583,0.5284810126582279,0.49430379746835446,0.42278481012658226,0.589240506329114
RightSTS;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'speech_ts': ['IPU', 'disc_IPU', 'Overlap', 'ReactionTime', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', 'LexicalRichness1', 'LexicalRichness2', 'Polarity', 'Subjectivity', 'UnionSocioItems']};['IPU_sum', 'IPU_std', 'disc_IPU_sum', 'disc_IPU_std', 'Overlap_sum', 'Overlap_std', 'ReactionTime_sum', 'ReactionTime_std', 'FilledBreaks_sum', 'FilledBreaks_std', 'Feedbacks_sum', 'Feedbacks_std', 'Discourses_sum', 'Discourses_std', 'Particles_sum', 'Particles_std', 'Laughters_sum', 'Laughters_std', 'LexicalRichness1_sum', 'LexicalRichness1_std', 'LexicalRichness2_sum', 'LexicalRichness2_std', 'Polarity_sum', 'Polarity_std', 'Subjectivity_sum', 'Subjectivity_std', 'UnionSocioItems_sum', 'UnionSocioItems_std'];['IPU_sum', 'IPU_std', 'disc_IPU_sum', 'disc_IPU_std', 'Overlap_sum', 'Overlap_std', 'ReactionTime_sum', 'ReactionTime_std', 'FilledBreaks_sum', 'FilledBreaks_std', 'Feedbacks_sum', 'Feedbacks_std', 'Discourses_sum', 'Discourses_std', 'Particles_sum', 'Particles_std', 'Laughters_sum', 'Laughters_std', 'LexicalRichness1_sum', 'LexicalRichness1_std', 'LexicalRichness2_sum', 'LexicalRichness2_std', 'Polarity_sum', 'Polarity_std', 'Subjectivity_sum', 'Subjectivity_std', 'UnionSocioItems_sum', 'UnionSocioItems_std'];0.5379810176878365;0.7049003742403956;0.5784712015548588;0.06560587963503167;0.15841472677469753;0.09229573058854426;0.49964664310954066,0.44876325088339225,0.5770862800565771,0.582036775106082,0.49363507779349364,0.49646393210749645,0.6195190947666195,0.5134370579915134,0.4837340876944837,0.6654879773691655
LeftSTS;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_ts': ['IPU', 'disc_IPU', 'Overlap', 'ReactionTime', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', 'LexicalRichness1', 'LexicalRichness2', 'Polarity', 'Subjectivity', 'UnionSocioItems']};['IPU_sum', 'IPU_std', 'disc_IPU_sum', 'disc_IPU_std', 'Overlap_sum', 'Overlap_std', 'ReactionTime_sum', 'ReactionTime_std', 'FilledBreaks_sum', 'FilledBreaks_std', 'Feedbacks_sum', 'Feedbacks_std', 'Discourses_sum', 'Discourses_std', 'Particles_sum', 'Particles_std', 'Laughters_sum', 'Laughters_std', 'LexicalRichness1_sum', 'LexicalRichness1_std', 'LexicalRichness2_sum', 'LexicalRichness2_std', 'Polarity_sum', 'Polarity_std', 'Subjectivity_sum', 'Subjectivity_std', 'UnionSocioItems_sum', 'UnionSocioItems_std'];['IPU_sum', 'IPU_std', 'disc_IPU_sum', 'disc_IPU_std', 'Overlap_sum', 'Overlap_std', 'ReactionTime_sum', 'ReactionTime_std', 'FilledBreaks_sum', 'FilledBreaks_std', 'Feedbacks_sum', 'Feedbacks_std', 'Discourses_sum', 'Discourses_std', 'Particles_sum', 'Particles_std', 'Laughters_sum', 'Laughters_std', 'LexicalRichness1_sum', 'LexicalRichness1_std', 'LexicalRichness2_sum', 'LexicalRichness2_std', 'Polarity_sum', 'Polarity_std', 'Subjectivity_sum', 'Subjectivity_std', 'UnionSocioItems_sum', 'UnionSocioItems_std'];0.5705306331709817;0.7582054655207374;0.6133794567845828;0.07391519177505934;0.12214701420266884;0.039899133304302885;0.515946137491141,0.4528703047484054,0.523033309709426,0.515946137491141,0.4879432624113475,0.5120567375886524,0.49148936170212765,0.5078014184397163,0.524822695035461,0.4581560283687943
RightMotor;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_sum', 'disc_IPU_left_std'];['disc_IPU_left_sum', 'disc_IPU_left_std'];0.47965239913850394;0.7556910411224531;0.5467471400387875;0.07312395827776118;0.16344252781816684;0.06581230168138422;0.49209361163820364,0.5556962025316455,0.43544303797468353,0.5525316455696202,0.45759493670886076,0.40949367088607597,0.6221518987341772,0.4810126582278481,0.3829113924050633,0.40759493670886077
LeftMotor;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_sum', 'disc_IPU_left_std'];['disc_IPU_left_sum', 'disc_IPU_left_std'];0.5424345107986006;0.75174694681063;0.6054517453561234;0.0413308326092306;0.1757693562515972;0.08537582708329684;0.49463044851547694,0.5426405559065066,0.5502210991787745,0.556538218572331,0.5420088439671511,0.5606826801517067,0.48735777496839444,0.5524652338811631,0.638432364096081,0.4993678887484197
RightSTS;None;6;{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5};{'speech_ts': ['disc_IPU']};['disc_IPU_sum', 'disc_IPU_std'];['disc_IPU_sum', 'disc_IPU_std'];0.42801850250648493;0.6543674769627359;0.4615692499704024;0.04781753406429266;0.17439718403525517;0.05072012686208948;0.4318021201413428,0.38657243816254416,0.4625176803394625,0.42362093352192365,0.45756718528995755,0.44271570014144274,0.44130127298444133,0.5176803394625177,0.33734087694483733,0.37906647807637905
LeftSTS;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_ts': ['disc_IPU']};['disc_IPU_sum', 'disc_IPU_std'];['disc_IPU_sum', 'disc_IPU_std'];0.5765604093470251;0.7610744988088016;0.6178896071443277;0.07953661734772316;0.12124407471303607;0.049477335606387084;0.4514528703047484,0.38199858256555635,0.443656980864635,0.44720056697377747,0.44042553191489364,0.4581560283687943,0.44397163120567373,0.5177304964539007,0.41631205673758864,0.8475177304964538
RightSTS;None;6;{'C': 0.7, 'kernel': 'rbf', 'random_state': 5};{'speech_ts': ['IPU']};['IPU_sum', 'IPU_std'];['IPU_sum', 'IPU_std'];0.5546479675731328;0.7552029233847197;0.5958635118668598;0.09998829132262822;0.12778883340046462;0.05154195005842529;0.4353356890459364,0.4148409893992933,0.5007072135785007,0.4625176803394625,0.5091937765205092,0.516973125884017,0.5007072135785007,0.611032531824611,0.504950495049505,0.4476661951909477
LeftSTS;None;6;{'C': 0.7, 'kernel': 'linear', 'random_state': 5};{'speech_ts': ['IPU']};['IPU_sum', 'IPU_std'];['IPU_sum', 'IPU_std'];0.5826567345728344;0.7535494530388623;0.625259382071028;0.06463143639145118;0.12512358738504947;0.056865107014702675;0.45074415308291993,0.41885187810063784,0.4939759036144578,0.47838412473423103,0.49645390070921985,0.5191489361702127,0.5042553191489362,0.5177304964539007,0.5028368794326241,0.4418439716312057
